Experiment,Method,Column,Measure,Value
0,Mean,Clashscore,MSE,70.5001335514086
0,Mean,Clashscore,MAE,5.641444274700659
0,Mean,Clashscore,MAD,4.169850206822278
0,Mean,Ramachandran outliers [%],MSE,1.6245984339690271
0,Mean,Ramachandran outliers [%],MAE,0.6135001122694166
0,Mean,Ramachandran outliers [%],MAD,0.4943091998905664
0,Mean,Rotamer outliers [%],MSE,13.86123038825512
0,Mean,Rotamer outliers [%],MAE,2.5782384496858697
0,Mean,Rotamer outliers [%],MAD,2.0819380545650548
0,Mean,RSRZ outliers [%],MSE,17.005117929658432
0,Mean,RSRZ outliers [%],MAE,2.7570821462428956
0,Mean,RSRZ outliers [%],MAD,2.3041644502547003
0,Mean,R [%],MSE,10.626543343543403
0,Mean,R [%],MAE,2.5001452520751406
0,Mean,R [%],MAD,1.98488912049838
0,Mean,R free [%],MSE,14.482765622999871
0,Mean,R free [%],MAE,2.992789319554165
0,Mean,R free [%],MAD,2.4651992052125813
0,Median,Clashscore,MSE,79.83934214876035
0,Median,Clashscore,MAE,5.219338842975207
0,Median,Clashscore,MAD,2.9199999999999995
0,Median,Ramachandran outliers [%],MSE,1.8420639439342679
0,Median,Ramachandran outliers [%],MAE,0.505176413726438
0,Median,Ramachandran outliers [%],MAD,0.049999999999999996
0,Median,Rotamer outliers [%],MSE,15.416390999999999
0,Median,Rotamer outliers [%],MAE,2.3697380952380955
0,Median,Rotamer outliers [%],MAD,1.4300000000000002
0,Median,RSRZ outliers [%],MSE,18.05242383864119
0,Median,RSRZ outliers [%],MAE,2.6250980891719746
0,Median,RSRZ outliers [%],MAD,1.8800000000000003
0,Median,R [%],MSE,10.644232849526226
0,Median,R [%],MAE,2.4998871651397083
0,Median,R [%],MAD,2.001999999999999
0,Median,R free [%],MSE,14.480050868170492
0,Median,R free [%],MAE,2.9923700433354834
0,Median,R free [%],MAD,2.4680000000000035
0,Bayesian,Clashscore,MSE,29.384406191038774
0,Bayesian,Clashscore,MAE,3.9249075926789097
0,Bayesian,Clashscore,MAD,3.0208673634289678
0,Bayesian,Ramachandran outliers [%],MSE,0.7985868685507895
0,Bayesian,Ramachandran outliers [%],MAE,0.42008889976469704
0,Bayesian,Ramachandran outliers [%],MAD,0.21495503594820115
0,Bayesian,Rotamer outliers [%],MSE,7.714923069733436
0,Bayesian,Rotamer outliers [%],MAE,1.8317909786257696
0,Bayesian,Rotamer outliers [%],MAD,1.2490412549391312
0,Bayesian,RSRZ outliers [%],MSE,15.341133150303689
0,Bayesian,RSRZ outliers [%],MAE,2.563981804626463
0,Bayesian,RSRZ outliers [%],MAD,2.017138522780889
0,Bayesian,R [%],MSE,3.166113597039198
0,Bayesian,R [%],MAE,1.3020888038081373
0,Bayesian,R [%],MAD,0.9891261346590667
0,Bayesian,R free [%],MSE,3.22020899264218
0,Bayesian,R free [%],MAE,1.3340471207528888
0,Bayesian,R free [%],MAD,1.0366954571569238
1,Mean,Clashscore,MSE,88.40920671474143
1,Mean,Clashscore,MAE,5.511030354364743
1,Mean,Clashscore,MAD,3.6588209906256877
1,Mean,Ramachandran outliers [%],MSE,1.8369794787670126
1,Mean,Ramachandran outliers [%],MAE,0.6566072559361115
1,Mean,Ramachandran outliers [%],MAD,0.49340744978071815
1,Mean,Rotamer outliers [%],MSE,12.573905088973794
1,Mean,Rotamer outliers [%],MAE,2.5140425296261637
1,Mean,Rotamer outliers [%],MAD,2.143759930342483
1,Mean,RSRZ outliers [%],MSE,16.962789432256333
1,Mean,RSRZ outliers [%],MAE,2.7467075697395713
1,Mean,RSRZ outliers [%],MAD,2.2804674750935394
1,Mean,R [%],MSE,9.980823891359336
1,Mean,R [%],MAE,2.467201402073025
1,Mean,R [%],MAD,2.0248114524367367
1,Mean,R free [%],MSE,14.805471622356242
1,Mean,R free [%],MAE,3.0159322790336818
1,Mean,R free [%],MAD,2.478833229746641
1,Median,Clashscore,MSE,103.37500909090912
1,Median,Clashscore,MAE,5.688842975206612
1,Median,Clashscore,MAD,3.200000000000001
1,Median,Ramachandran outliers [%],MSE,2.102094635089415
1,Median,Ramachandran outliers [%],MAE,0.5572353794103432
1,Median,Ramachandran outliers [%],MAD,0.060000000000000005
1,Median,Rotamer outliers [%],MSE,13.873097666666668
1,Median,Rotamer outliers [%],MAE,2.293585714285715
1,Median,Rotamer outliers [%],MAD,1.38
1,Median,RSRZ outliers [%],MSE,18.134871184713376
1,Median,RSRZ outliers [%],MAE,2.6299974522292993
1,Median,RSRZ outliers [%],MAD,1.8599999999999999
1,Median,R [%],MSE,9.997789862558422
1,Median,R [%],MAE,2.465580293409834
1,Median,R [%],MAD,2.0100000000000016
1,Median,R free [%],MSE,14.804948327711422
1,Median,R free [%],MAE,3.0155787370033096
1,Median,R free [%],MAD,2.4819999999999993
1,Bayesian,Clashscore,MSE,94.2135854348498
1,Bayesian,Clashscore,MAE,4.887199339110341
1,Bayesian,Clashscore,MAD,2.7200008783874385
1,Bayesian,Ramachandran outliers [%],MSE,0.8651440676718559
1,Bayesian,Ramachandran outliers [%],MAE,0.4559973493657135
1,Bayesian,Ramachandran outliers [%],MAD,0.2108816586819895
1,Bayesian,Rotamer outliers [%],MSE,6.92435394828091
1,Bayesian,Rotamer outliers [%],MAE,1.74521641649274
1,Bayesian,Rotamer outliers [%],MAD,1.2055603135140274
1,Bayesian,RSRZ outliers [%],MSE,15.434788158214369
1,Bayesian,RSRZ outliers [%],MAE,2.563344356494084
1,Bayesian,RSRZ outliers [%],MAD,2.0166142619030785
1,Bayesian,R [%],MSE,3.170218359800922
1,Bayesian,R [%],MAE,1.3064839806654316
1,Bayesian,R [%],MAD,0.9872768011423361
1,Bayesian,R free [%],MSE,3.15925359239941
1,Bayesian,R free [%],MAE,1.3164941805260622
1,Bayesian,R free [%],MAD,1.0252824062453705
2,Mean,Clashscore,MSE,141.1119773634265
2,Mean,Clashscore,MAE,6.672666688198364
2,Mean,Clashscore,MAD,4.6687801972766385
2,Mean,Ramachandran outliers [%],MSE,1.9650129437040218
2,Mean,Ramachandran outliers [%],MAE,0.6240855700796228
2,Mean,Ramachandran outliers [%],MAD,0.4939544523756229
2,Mean,Rotamer outliers [%],MSE,12.720101454564428
2,Mean,Rotamer outliers [%],MAE,2.5278259296553847
2,Mean,Rotamer outliers [%],MAD,2.1336068496558585
2,Mean,RSRZ outliers [%],MSE,16.406948170784865
2,Mean,RSRZ outliers [%],MAE,2.732693119922268
2,Mean,RSRZ outliers [%],MAD,2.287084434026056
2,Mean,R [%],MSE,10.05250400459247
2,Mean,R [%],MAE,2.420320128161218
2,Mean,R [%],MAD,1.9403585819616929
2,Mean,R free [%],MSE,14.958418251637047
2,Mean,R free [%],MAE,3.0639639322717054
2,Mean,R free [%],MAD,2.580841100511904
2,Median,Clashscore,MSE,156.30070330578508
2,Median,Clashscore,MAE,6.313636363636364
2,Median,Clashscore,MAD,2.4400000000000004
2,Median,Ramachandran outliers [%],MSE,2.201246592556791
2,Median,Ramachandran outliers [%],MAE,0.5257419043015948
2,Median,Ramachandran outliers [%],MAD,0.060000000000000005
2,Median,Rotamer outliers [%],MSE,14.040831
2,Median,Rotamer outliers [%],MAE,2.3078809523809523
2,Median,Rotamer outliers [%],MAD,1.42
2,Median,RSRZ outliers [%],MSE,17.531647974522294
2,Median,RSRZ outliers [%],MAE,2.611115923566879
2,Median,RSRZ outliers [%],MAD,1.8499999999999999
2,Median,R [%],MSE,10.036301808268716
2,Median,R [%],MAE,2.417200328754086
2,Median,R [%],MAD,1.9299999999999997
2,Median,R free [%],MSE,14.962154059479746
2,Median,R free [%],MAE,3.0645644198170796
2,Median,R free [%],MAD,2.580000000000002
2,Bayesian,Clashscore,MSE,58.85343670504022
2,Bayesian,Clashscore,MAE,4.150360215055834
2,Bayesian,Clashscore,MAD,2.410914541811171
2,Bayesian,Ramachandran outliers [%],MSE,1.0126145613930535
