,J1,J2,L
1739,NATURE,NEURON,4
1919,NATURE,NAT MED,3
1959,NATURE,PATENT,4
2030,NATURE,NAT CHEM,4
2271,NATURE,VET RES,4
2500,NATURE,JOULE,4
2547,J MOL BIOL,J MOL RECOG,4
2577,J MOL BIOL,J CELL BIOL,3
2715,J MOL BIOL,PLOS BIOL,4
2724,J MOL BIOL,BMC BIOL,4
2834,J MOL BIOL,J MOL CATAL,4
2975,J MOL BIOL,J MOL MED,4
3082,J MOL BIOL,J MEMBR BIOL,4
3113,J MOL BIOL,J MICROBIOL,4
3218,J MOL BIOL,J MOL EVOL,2
3332,J MOL BIOL,REDOX BIOL,4
3544,BIOCHEMISTRY,CHEMISTRY,3
3630,BIOCHEMISTRY,PHYTOCHEMISTRY,4
4181,J BIOL CHEM,J BIOCHEM,2
4219,J BIOL CHEM,J MED CHEM,4
4296,J BIOL CHEM,BIOL CHEM,2
4498,J BIOL CHEM,J ORG CHEM,4
4547,J BIOL CHEM,J COMB CHEM,4
4559,J BIOL CHEM,J BIOPHYS CHEM,4
5861,J BIOCHEM,EUR J BIOCHEM,4
5880,J BIOCHEM,BIOCHEM J,4
5882,J BIOCHEM,J MED CHEM,4
5959,J BIOCHEM,BIOL CHEM,4
6114,J BIOCHEM,J NEUROCHEM,4
6130,J BIOCHEM,ANAL BIOCHEM,4
6157,J BIOCHEM,CHEMBIOCHEM,4
6161,J BIOCHEM,J ORG CHEM,4
6221,J BIOCHEM,BMC BIOCHEM,3
6374,J BIOCHEM,J BIOSCI,4
6681,ACTA CRYSTALLOGR SECT A,ACTA CRYSTALLOGR SECT B,1
9269,ISR J CHEM,NEW J CHEM,3
9307,ISR J CHEM,INORG CHEM,4
9318,ISR J CHEM,CAN J CHEM,3
9332,ISR J CHEM,CHIN J CHEM,4
9516,ISR J CHEM,AUST J CHEM,3
10661,MOL PHARMACOL,BR J PHARMACOL,4
10666,MOL PHARMACOL,MOL PHARM,4
10708,MOL PHARMACOL,FRONT PHARMACOL,4
13145,TO BE PUBLISHED,NOT PUBLISHED,4
15871,EMBO J,EMBO REP,3
15888,EMBO J,FEBS J,3
15905,EMBO J,PLYM J,4
16023,EMBO J,VIROL J,4
16164,EMBO J,MBIO,4
16198,EMBO J,ISME J,4
16493,EMBO J,BONE,4
16705,BIOORG KHIM,INORG CHEM,4
16801,BIOORG KHIM,BIOORG CHEM,2
18428,THESIS,PHD THESIS,4
18545,THESIS,THYROID,4
18879,THESIS,CHEM,4
18885,THESIS,TOXINS,4
18928,THESIS,RES,4
19965,EUR J BIOCHEM,EUR J ORG CHEM,4
