Rank,Journal,Q1(td) percentile,A-mean resolution,G-mean resolution,V-mean resolution,Structure count
1,FEBS J*,64.02309691652466,2.025499098865096,1.9698772060271472,1.8075193224789412,1921
2,BIOCHEM J*,62.88590000036105,2.1209597981984674,2.066419861742005,1.9021045755905397,1207
3,J BIOL INORG CHEM,61.23311068984195,1.871860940710787,1.8086811520677728,1.6270190212682065,305
4,J AM CHEM SOC*,59.71164796216176,1.9972131684749315,1.9203917220620552,1.7087428930394057,3056
5,PROTEIN ENG DES SEL,59.65235634903807,2.0482083601286174,1.9976751618416044,1.8424511433438864,311
6,ACTA CRYST D*,59.14384244595904,1.9919450756006951,1.9155696283595693,1.6975909937067355,4387
7,FEBS LETT,58.966956511857624,2.0909145888159526,2.0246177714550626,1.8280515735022433,929
8,CELL CHEM BIOL,58.87355447879017,2.0892181184786316,2.0356598483308384,1.883710237003602,1067
9,BIOCHEMISTRY*,58.86249001811481,2.0512458483383,1.9984474516062907,1.8373340599994625,9451
10,PROTEIN SCI,57.972328247947715,2.069780599435917,2.010629214448064,1.8329435938889853,2672
11,J VIROL,57.84493408463774,2.331893818182207,2.2550537640303587,2.052662927052591,1092
12,J BIOL CHEM*,57.641558238628576,2.1185657138098684,2.0581933685319007,1.8834749104154316,12548
13,J STRUCT BIOL,57.55761841243838,2.1363388692492493,2.0682818440072164,1.8845480367209435,1252
14,PROTEINS,56.90934851057576,2.0606455109474235,2.005739927622225,1.8327378288700633,2127
15,STRUCTURE,56.75787381720401,2.1655935438689577,2.0702894143018638,1.7935071515372614,6101
16,NUCLEIC ACIDS RES,56.7338975998123,2.2857833918772474,2.2094380230653794,1.9754548410516257,3001
17,J BACTERIOL,56.70597003450178,2.216518767880025,2.161340448324195,2.009149463590574,403
18,BIOCHEM BIOPHYS RES COMMUN,55.392260197013954,2.1742947326516906,2.108601005025441,1.91684051240415,1337
19,BIOORG MED CHEM,55.23996135339766,2.0654184623255594,2.0094956944748583,1.840987874229704,876
20,J MED CHEM,54.96493399240975,2.0223554032369324,1.9687307696179186,1.80763434647255,8391
21,PNAS,54.792723991501546,2.2427545492065737,2.1486067062867042,1.8759393161849631,8872
22,J MOL BIOL*,54.624698378793255,2.1303919127320174,2.067454190322264,1.886960410510739,9924
23,BIOPHYS J,54.35590141183385,1.9061502145922746,1.8452950231346341,1.6583224680841433,233
24,NATURE*,53.40531680891317,2.4832281097053355,2.378951820434346,2.079012468269774,3471
25,SCIENCE*,51.21390202697014,2.33945427423799,2.233000705086817,1.9775993665099691,2811
26,MOL CELL*,50.402938399207564,2.4358624691181334,2.3548810811513983,2.1337151147097893,1800
27,CELL*,49.928939223623466,2.5388382509460223,2.449370680708929,2.19963527473931,1810
28,BIOORG MED CHEM LETT*,49.750377712879356,2.1946374607165304,2.1551034156965256,2.04557395677414,1591
29,NAT STRUCT MOL BIOL*,49.0146688639441,2.406003832582823,2.3133514616864335,2.0603021356065883,3093
30,EMBO J*,48.524879832109654,2.3740123634558095,2.2992733165551313,2.0858696288466043,2014
