Rank,Journal,Q1(td) percentile,Structure count
1,TUBERCULOSIS (EDINB),0.8747881990310702,131
2,J COMPUT AIDED MOL DES,0.6980557729859741,220
3,ORG BIOMOL CHEM,0.6605549810620593,201
4,CHEMBIOCHEM,0.6541096697181898,682
5,ACS CATAL,0.6526838241647036,598
6,CHEMISTRY,0.6518967162084509,400
7,IUCRJ,0.6480020837050011,575
8,APPL MICROBIOL BIOTECHNOL,0.6476999184996373,121
9,J PHYS CHEM B,0.6461566539786975,107
10,ARCH BIOCHEM BIOPHYS,0.640545558019948,347
11,FEBS J,0.6402309691652467,1921
12,VIROLOGY,0.633693942445496,133
13,ACS INFECT DIS,0.6309445640406304,378
14,PLOS PATHOG,0.6306436131478282,843
15,NAT CHEM BIOL,0.6299890156181065,1390
16,ACTA CRYST F,0.6291712072215105,1771
17,BIOCHEM J,0.6288590000036105,1207
18,ACS CHEM BIOL,0.6277424277800663,1507
19,CHEM COMMUN,0.6258890627866145,360
20,APPL ENVIRON MICROBIOL,0.623500808707353,143
21,SCI REP,0.6225452063575575,2383
22,J SYNCHROTRON RADIAT,0.620810815204031,162
23,J BIOL INORG CHEM,0.6123311068984195,305
24,MOLECULES,0.6119316752297826,225
25,CRYST GROWTH DES,0.611794567444461,100
26,BIOMOLECULES,0.6114816898861952,171
27,ACTA CRYS SECTION D,0.6105976049013697,1420
28,ANGEW CHEM,0.6076689204775274,1706
29,CHEMMEDCHEM,0.6064374091101185,681
30,CHEM SCI,0.6059102556890058,485
31,ACS OMEGA,0.6054238044455312,170
32,PLOS ONE,0.6049290654376855,2222
33,ANTIMICROB AGENTS CHEMOTHER,0.6029173249693492,385
34,NAT CHEM,0.6012236795466791,312
35,BIOCHIMIE,0.5992997227730218,165
36,EUR J MED CHEM,0.5987509318800477,913
37,NAT MICROBIOL,0.5980799828154966,202
38,ACS CENT SCI,0.5978556105077326,148
39,ACS MED CHEM LETT,0.5976875271071443,1634
40,RNA,0.5976640735685899,303
41,J AM CHEM SOC,0.5971164796216176,3056
42,PROTEIN ENG DES SEL,0.5965235634903807,311
43,J INORG BIOCHEM,0.5956248440106553,259
44,TO BE PUBLISHED,0.5950617103216603,28679
45,GLYCOBIOLOGY,0.5939869769625689,246
46,SCI SIGNAL,0.5933684695679146,112
47,COMPUT STRUCT BIOTECHNOL J,0.5931485142728059,135
48,BMC STRUCT BIOL,0.5914859105245444,229
49,ACTA CRYST D,0.5914384244595904,4387
50,FEBS LETT,0.5896695651185763,929
