Rank,Journal,Q1(td) percentile,A-mean resolution,G-mean resolution,V-mean resolution,Structure count
1,BIOCHEM J*,65.41662632909969,2.110534370185326,2.055752630432588,2.0375962067268185,1033
2,FEBS J*,65.1108401018654,2.022789380283403,1.9698009601795816,1.9521978993123612,1539
3,J BIOL INORG CHEM,62.60325721048119,1.8840876139683393,1.821752577201187,1.8011127708190915,265
4,FEBS LETT*,61.30032379970749,2.101564219983207,2.037790027899831,2.0165376314892915,814
5,J AM CHEM SOC*,60.880896887793746,2.000311740423091,1.9347855899581647,1.9129337691462578,2369
6,PROTEIN ENG DES SEL,60.592248549447405,2.0513530612244892,2.0007882709638487,1.9839309123829734,294
7,CELL CHEM BIOL,60.15959511249485,2.0774997033444578,2.027714149750333,2.011407874074005,902
8,ACTA CRYST D*,60.051023677409574,1.9859256614583185,1.9105752765307304,1.8859886906097176,4952
9,BIOCHEMISTRY*,59.44113839863437,2.052668690214357,2.0003416213826597,1.9829066120906609,8896
10,NUCLEIC ACIDS RES,58.767492232204376,2.2820356616953683,2.2065210046818216,2.181283845076902,2127
11,STRUCTURE,58.51938646434965,2.197485930312627,2.1113177364440925,2.0830169791099293,5348
12,PROTEIN SCI,58.45322564336305,2.0732581655481015,2.0182799991862486,2.000171459918636,2235
13,J MED CHEM,58.283787566746796,2.0717486941325105,2.0202849053684613,2.0029019856818366,5525
14,J VIROL,58.233008678663126,2.3439864681295743,2.264519278774781,2.2395308345137606,957
15,J BIOL CHEM,57.90358918015836,2.1220707990445855,2.062772692846283,2.043307195063953,11055
16,J STRUCT BIOL,57.484786295192556,2.1502692130085963,2.082338537608425,2.0609841408635514,1038
17,J BACTERIOL,57.36682757804245,2.2179866939505377,2.1619816561767133,2.1438175404715123,371
18,BIOORG MED CHEM,57.27454339139976,2.098657814871017,2.042484519066912,2.023977604826355,659
19,PROTEINS,57.079598980842974,2.067916434916491,2.0143483668748643,1.996256397992479,1999
20,BIOCHEM BIOPHYS RES COMMUN,56.27624759469053,2.175412721817355,2.1096861127038427,2.088372023164606,976
21,PNAS,55.780038805839446,2.274710997025069,2.1880830429344744,2.1600162742160136,7376
22,BIOPHYS J,55.35881346287459,1.915994974874371,1.8541708411402291,1.8332187035463783,199
23,J MOL BIOL*,55.23929980087383,2.125248195784678,2.0631320743092476,2.0429203009639143,9507
24,NATURE*,53.82856427390038,2.5222504947509283,2.418723076620229,2.3849436729628537,3060
25,SCIENCE*,53.13637111481656,2.497320061926803,2.387483817954993,2.353306959623301,1949
26,MOL CELL*,50.366019360790524,2.4475805266747606,2.3674963665376296,2.341732989405648,1599
27,BIOORG MED CHEM LETT*,50.179459927266535,2.1946340880503103,2.1550754691347094,2.1422260673831897,1590
28,NAT STRUCT MOL BIOL*,49.76812440361471,2.4011907693037404,2.311002588819745,2.282272938603721,2915
29,CELL*,49.36128509559358,2.536798464491366,2.445801131659555,2.4167169972364606,1563
30,EMBO J*,49.133599079505935,2.3715653926701568,2.299768891888695,2.2764909873399373,1910
